"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1924","Canada","2016A000011124","Beekeepers","Number","223","units ","0","v47849","1.1","22205","","","","0"
"1924","Canada","2016A000011124","Colonies","Number","223","units ","0","v47859","1.2","280010","","","","0"
"1924","Canada","2016A000011124","Average yield per colony","Pounds","254","units ","0","v47869","1.3","60","","","t","0"
"1924","Canada","2016A000011124","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47879","1.4","16840","","","","0"
"1924","Canada","2016A000011124","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47889","1.5","2085","","","","0"
"1924","Canada","2016A000011124","Value of natural honey and wax","Dollars","81","thousands","3","v47899","1.6","2183","","","t","0"
"1924","Prince Edward Island","2016A000211","Beekeepers","Number","223","units ","0","v47850","2.1","5","","","","0"
"1924","Prince Edward Island","2016A000211","Colonies","Number","223","units ","0","v47860","2.2","90","","","","0"
"1924","Prince Edward Island","2016A000211","Average yield per colony","Pounds","254","units ","0","v47870","2.3","29","","","t","0"
"1924","Prince Edward Island","2016A000211","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47880","2.4","3","","","","0"
"1924","Prince Edward Island","2016A000211","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47890","2.5","0","","","","0"
"1924","Prince Edward Island","2016A000211","Value of natural honey and wax","Dollars","81","thousands","3","v47900","2.6","0","","","t","0"
"1924","Nova Scotia","2016A000212","Beekeepers","Number","223","units ","0","v47851","3.1","200","","","","0"
"1924","Nova Scotia","2016A000212","Colonies","Number","223","units ","0","v47861","3.2","1250","","","","0"
"1924","Nova Scotia","2016A000212","Average yield per colony","Pounds","254","units ","0","v47871","3.3","64","","","t","0"
"1924","Nova Scotia","2016A000212","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47881","3.4","80","","","","0"
"1924","Nova Scotia","2016A000212","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47891","3.5","13","","","","0"
"1924","Nova Scotia","2016A000212","Value of natural honey and wax","Dollars","81","thousands","3","v47901","3.6","13","","","t","0"
"1924","New Brunswick","2016A000213","Beekeepers","Number","223","units ","0","v47852","4.1","360","","","","0"
"1924","New Brunswick","2016A000213","Colonies","Number","223","units ","0","v47862","4.2","2200","","","","0"
