,REF_DATE,GEO,Average yield per colony,Beekeepers,Colonies,"Production of natural honey, total [16133111]",Value of natural honey and wax,"Value of natural honey, total [16133111]"
0,1924,Alberta,0.0,160.0,0.0,55.0,14.0,14.0
1,1925,Alberta,56.0,140.0,2040.0,115.0,24.0,23.0
2,1926,Alberta,84.0,150.0,2560.0,215.0,38.0,37.0
3,1927,Alberta,87.0,200.0,3450.0,300.0,63.0,60.0
4,1928,Alberta,81.0,200.0,4150.0,336.0,70.0,67.0
5,1929,Alberta,114.0,150.0,4560.0,522.0,82.0,78.0
6,1930,Alberta,222.0,170.0,4450.0,990.0,104.0,99.0
7,1931,Alberta,166.0,190.0,5500.0,915.0,96.0,92.0
8,1932,Alberta,96.0,320.0,5700.0,550.0,46.0,44.0
9,1933,Alberta,172.0,320.0,5800.0,1000.0,94.0,90.0
10,1934,Alberta,160.0,1010.0,9390.0,1500.0,155.0,150.0
11,1935,Alberta,84.0,1000.0,13060.0,1100.0,104.0,99.0
12,1936,Alberta,152.0,1150.0,12180.0,1850.0,174.0,166.0
13,1937,Alberta,157.0,1240.0,13730.0,2160.0,171.0,162.0
14,1938,Alberta,159.0,1090.0,15230.0,2418.0,178.0,169.0
15,1939,Alberta,121.0,1590.0,18000.0,2178.0,184.0,176.0
16,1940,Alberta,101.0,2200.0,22000.0,2222.0,253.0,244.0
17,1941,Alberta,130.0,2400.0,24000.0,3120.0,392.0,374.0
18,1942,Alberta,91.0,3820.0,27500.0,2500.0,378.0,362.0
19,1943,Alberta,89.0,7500.0,42800.0,3800.0,574.0,551.0
20,1944,Alberta,90.0,9100.0,57000.0,5130.0,805.0,770.0
21,1945,Alberta,95.0,10000.0,63000.0,6000.0,941.0,900.0
22,1946,Alberta,86.0,11000.0,72000.0,6192.0,1030.0,991.0
23,1947,Alberta,84.0,9560.0,77600.0,6507.0,1387.0,1366.0
24,1948,Alberta,125.0,6600.0,82200.0,10254.0,2114.0,2051.0
25,1949,Alberta,106.0,4800.0,55000.0,5830.0,614.0,583.0
26,1950,Alberta,99.0,4150.0,49000.0,4851.0,655.0,631.0
27,1951,Alberta,118.0,2120.0,38100.0,4500.0,569.0,540.0
28,1952,Alberta,142.0,2010.0,34600.0,4900.0,618.0,588.0
29,1953,Alberta,124.0,1560.0,31100.0,3856.0,563.0,540.0
30,1954,Alberta,78.0,1300.0,33800.0,2636.0,411.0,395.0
31,1955,Alberta,131.0,1270.0,35200.0,4611.0,769.0,738.0
32,1956,Alberta,98.0,1800.0,48200.0,4724.0,792.0,756.0
33,1957,Alberta,134.0,1800.0,48200.0,6459.0,1081.0,1033.0
34,1958,Alberta,165.0,1490.0,45900.0,7574.0,1187.0,1136.0
35,1959,Alberta,94.0,1540.0,54200.0,5095.0,799.0,764.0
36,1960,Alberta,138.0,1670.0,54900.0,7576.0,1188.0,1138.0
37,1961,Alberta,160.0,1390.0,60000.0,9600.0,1393.0,1328.0
38,1962,Alberta,105.0,1260.0,65400.0,6867.0,1005.0,961.0
39,1963,Alberta,162.0,1100.0,71600.0,11600.0,1818.0,1740.0
40,1964,Alberta,117.0,1450.0,83850.0,9800.0,1541.0,1470.0
41,1965,Alberta,176.0,1320.0,114000.0,20050.0,3352.0,3208.0
42,1966,Alberta,116.0,1150.0,114000.0,13180.0,2129.0,2032.0
43,1967,Alberta,145.0,1400.0,120000.0,17380.0,2751.0,2607.0
44,1968,Alberta,93.0,1500.0,110000.0,10230.0,1522.0,1432.0
45,1969,Alberta,169.0,1400.0,120000.0,20280.0,3040.0,2839.0
46,1970,Alberta,184.0,1200.0,110000.0,20240.0,2965.0,2773.0
47,1971,Alberta,196.0,1200.0,115000.0,22540.0,4493.0,4283.0
48,1972,Alberta,155.0,1200.0,130000.0,20150.0,6244.0,6045.0
49,1973,Alberta,149.0,1300.0,145000.0,21605.0,9997.0,9722.0
50,1974,Alberta,115.0,1800.0,156000.0,17940.0,7654.0,7355.0
51,1975,Alberta,88.0,2000.0,158000.0,13904.0,5765.0,5562.0
52,1976,Alberta,128.0,2000.0,160000.0,20480.0,7841.0,7578.0
53,1977,Alberta,130.0,1800.0,165000.0,21450.0,9712.0,9224.0
54,1978,Alberta,125.0,1800.0,160000.0,20000.0,10641.0,10200.0
55,1979,Alberta,151.0,1700.0,150000.0,22600.0,13368.0,12882.0
56,1980,Alberta,142.0,1800.0,160000.0,22720.0,13579.0,13166.0
57,1981,Alberta,136.0,1700.0,170000.0,23100.0,15339.0,14934.0
58,1982,Alberta,104.0,1650.0,174000.0,18100.0,11506.0,11265.0
59,1983,Alberta,146.0,1610.0,172000.0,25100.0,15300.0,15029.0
60,1984,Alberta,154.0,1650.0,180000.0,27650.0,13699.0,13410.0
61,1985,Alberta,102.0,1700.0,181000.0,18500.0,10665.0,10416.0
62,1986,Alberta,126.0,1700.0,190000.0,23940.0,14595.0,14400.0
63,1987,Alberta,132.0,1480.0,193000.0,25500.0,11047.0,10710.0
64,1988,Alberta,153.0,1140.0,150000.0,23000.0,9511.0,9349.0
65,1989,Alberta,120.0,855.0,143500.0,17220.0,8646.0,8438.0
66,1990,Alberta,153.0,840.0,152000.0,23256.0,13767.0,13552.0
67,1991,Alberta,143.0,830.0,147000.0,21032.0,12472.0,12150.0
68,1992,Alberta,156.0,800.0,148000.0,23088.0,13965.0,13544.0
69,1993,Alberta,160.0,761.0,148000.0,23745.0,16755.0,16275.0
70,1994,Alberta,195.0,750.0,159000.0,31005.0,21729.0,21140.0
71,1995,Alberta,122.0,750.0,175000.0,21306.0,18280.0,17747.0
72,1996,Alberta,116.0,750.0,175000.0,20215.0,25994.0,25337.0
73,1997,Alberta,135.0,725.0,175000.0,23625.0,26688.0,26039.0
74,1998,Alberta,187.0,730.0,205000.0,38335.0,,34000.0
75,1999,Alberta,121.0,725.0,205000.0,24805.0,,20158.0
76,2000,Alberta,108.0,747.0,217000.0,24087.0,,19741.0
77,2001,Alberta,118.0,739.0,227000.0,26786.0,,27488.0
78,2002,Alberta,131.0,700.0,227000.0,29735.0,,58320.0
79,2003,Alberta,126.0,755.0,221000.0,27845.0,,56845.0
80,2004,Alberta,135.0,695.0,248000.0,33480.0,,50455.0
